model_name,variation_id,ground_truth_posture,ground_truth_status,ground_truth_error,images,posture_correct,posture_accuracy_pct,status_correct,status_accuracy_pct,error_correct,most_common_prediction,most_common_error
rtmpose_m_halpe26,1,ARAMANDI,CORRECT,,8,5,62.5,0,0.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmpose_m_halpe26,2,SAMAPADHAM,CORRECT,,8,8,100.0,5,62.5,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,3,MUZHUMANDI,CORRECT,,8,8,100.0,4,50.0,0,MUZHUMANDI,KNEES_FACING_FORWARD
rtmpose_m_halpe26,4,SWASTIKAPADAM,CORRECT,,8,4,50.0,1,12.5,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,5,SWASTIKAPADAM,CORRECT,,8,3,37.5,7,87.5,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,6,ARAMANDI,INCORRECT,INSUFFICIENT_KNEE_BEND,8,4,50.0,6,75.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmpose_m_halpe26,7,ARAMANDI,INCORRECT,FEET_TOO_FAR_APART,8,6,75.0,6,75.0,4,ARAMANDI,FEET_TOO_FAR_APART
rtmpose_m_halpe26,8,ARAMANDI,INCORRECT,FEET_NOT_IN_LINE,8,5,62.5,4,50.0,0,ARAMANDI,FEET_NOT_ALIGNED
rtmpose_m_halpe26,9,SAMAPADHAM,INCORRECT,FEET_TOO_FAR_APART,8,8,100.0,4,50.0,4,SAMAPADHAM,FEET_TOO_FAR_APART
rtmpose_m_halpe26,10,SAMAPADHAM,INCORRECT,FEET_NOT_ALIGNED,8,8,100.0,4,50.0,4,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,11,SAMAPADHAM,INCORRECT,WEIGHT_ON_ONE_LEG,8,8,100.0,4,50.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,12,MUZHUMANDI,INCORRECT,KNEES_FACING_FORWARD,8,8,100.0,4,50.0,4,MUZHUMANDI,KNEES_FACING_FORWARD
rtmpose_m_halpe26,13,MUZHUMANDI,INCORRECT,BACK_BENT_FORWARD,8,8,100.0,7,87.5,4,MUZHUMANDI,BACK_BENT_FORWARD
rtmpose_m_halpe26,14,MUZHUMANDI,INCORRECT,FEET_APART_HEEL_DOWN,8,8,100.0,4,50.0,2,MUZHUMANDI,FEET_APART_HEEL_DOWN
rtmpose_m_halpe26,15,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,1,12.5,6,75.0,0,ARAMANDI,EXCESSIVE_KNEE_BEND
rtmpose_m_halpe26,16,SWASTIKAPADAM,INCORRECT,OVERCROSSING_SHINS,8,3,37.5,5,62.5,0,ARAMANDI,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,17,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,4,50.0,5,62.5,3,SWASTIKAPADAM,INSUFFICIENT_ARAMANDI
rtmpose_m_halpe26,18,SWASTIKAPADAM,INCORRECT,INSUFFICIENT_ARAMANDI,8,5,62.5,4,50.0,2,SWASTIKAPADAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,19,PATAKA,INCORRECT,ELBOWS_NOT_ALIGNED,8,0,0.0,2,25.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,20,ALAPADMA,INCORRECT,ELBOWS_NOT_ALIGNED,8,0,0.0,2,25.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,21,ALAPADMA,CORRECT,,8,0,0.0,6,75.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,22,MUSHTI,CORRECT,,8,0,0.0,6,75.0,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,23,KATAKAMUKHA,CORRECT,,8,0,0.0,8,100.0,0,SAMAPADHAM,
rtmpose_m_halpe26,24,PATAKA,INCORRECT,FINGERS_TOO_FAR_APART,8,0,0.0,1,12.5,0,SAMAPADHAM,FEET_NOT_ALIGNED
rtmpose_m_halpe26,25,KATAKAMUKHA,INCORRECT,FINGERS_BENT,8,0,0.0,0,0.0,0,SAMAPADHAM,
rtmpose_m_halpe26,26,MUSHTI,INCORRECT,PINKY_DROPPED,8,0,0.0,0,0.0,0,SAMAPADHAM,
